instance_id,task_count,instance_seed,solver_seed,drone_count,method_id,method_label,variant_description,initial_routes_sha256,late_count,late_rate,total_lateness_min,lateness_per_task_min,distance_km,distance_per_task_km,construction_seconds,search_seconds,total_runtime_seconds,iterations,valid
virtual_n60_seed2026082603,60,2026082603,,4,greedy_full_position,全位置词典序贪心,,,9,0.15,325.8889533839829,5.431482556399715,680.8779418841419,11.347965698069032,0.0,0.0069773339200764894,0.0069773339200764894,0,True
virtual_n60_seed2026082603,60,2026082603,2026082603,4,full_alns,完整C2-Lex-ALNS,14个算子、截止期风险引导和自适应权重全部开启,e39780251b1cc8000dbf267e71ecd44fc6de5caab050a1f7e4c424c82c520df1,7,0.11666666666666667,346.80954989226075,5.780159164871012,595.8789495533657,9.93131582588943,0.0310462499037385,1.1274692500010133,1.1585154999047518,1000,True
virtual_n60_seed2026082603,60,2026082603,2026082603,4,no_time_awareness,去除时间感知,关闭截止期风险引导，并移除deadline_related、late_critical、deadline和slack算子,e39780251b1cc8000dbf267e71ecd44fc6de5caab050a1f7e4c424c82c520df1,9,0.15,462.362718486549,7.70604530810915,634.5407730133287,10.575679550222144,0.0310462499037385,1.127593999961391,1.1586402498651296,1000,True
virtual_n60_seed2026082603,60,2026082603,2026082603,4,no_capacity_conflict,去除容量冲突破坏,移除capacity_conflict破坏算子，其余设置不变,e39780251b1cc8000dbf267e71ecd44fc6de5caab050a1f7e4c424c82c520df1,7,0.11666666666666667,514.1482884904315,8.56913814150719,653.9517180135105,10.899195300225175,0.0310462499037385,1.0853297079447657,1.1163759578485042,1000,True
virtual_n60_seed2026082603,60,2026082603,2026082603,4,no_assignment_destroy,去除任务重分配破坏,移除assignment_destroy破坏算子，其余设置不变,e39780251b1cc8000dbf267e71ecd44fc6de5caab050a1f7e4c424c82c520df1,7,0.11666666666666667,437.3134349836575,7.288557249727625,617.4006854000536,10.290011423334226,0.0310462499037385,1.0620117499493062,1.0930579998530447,1000,True
virtual_n60_seed2026082603,60,2026082603,2026082603,4,uniform_operator_weights,关闭自适应权重,保留14个算子，但整个搜索期间保持均匀选择权重,e39780251b1cc8000dbf267e71ecd44fc6de5caab050a1f7e4c424c82c520df1,6,0.1,347.4941880477118,5.791569800795197,605.0228352812884,10.083713921354807,0.0310462499037385,1.1248710409272462,1.1559172908309847,1000,True
virtual_n60_seed2026082604,60,2026082604,,4,nearest_adjacent,最近邻成对贪心,,,23,0.38333333333333336,1697.683822406687,28.294730373444786,910.8221162500213,15.180368604167022,0.0,0.011363790836185217,0.011363790836185217,0,True
virtual_n60_seed2026082604,60,2026082604,,4,edd_adjacent,最早截止期成对贪心,,,44,0.7333333333333333,3655.040341459069,60.91733902431782,1177.3367519504222,19.622279199173704,0.0,0.0012030829675495625,0.0012030829675495625,0,True
virtual_n60_seed2026082604,60,2026082604,,4,greedy_full_position,全位置词典序贪心,,,13,0.21666666666666667,596.6972661617929,9.944954436029882,748.7866470712823,12.479777451188038,0.0,0.00589695805683732,0.00589695805683732,0,True
virtual_n60_seed2026082604,60,2026082604,2026082604,4,full_alns,完整C2-Lex-ALNS,14个算子、截止期风险引导和自适应权重全部开启,56404bdacb179065167cbc148c4950e3aa333c6d1c1eb741aaf362a6d3908f01,4,0.06666666666666667,194.18949502276632,3.236491583712772,553.3188160608081,9.221980267680134,0.03420250001363456,1.2158856249880046,1.2500881250016391,1000,True
